objectId,tns_classification,tns_redshift,tns_name,ra,dec,tns_classification_mapped,Fink URL,is_CV_visual_inpsection
ZTF24abrywxv,,,2024aaxo,293.6857012,48.41381497,,https://ztf.fink-portal.org/ZTF24abrywxv,yes
ZTF24aardkhs,,,2024kxv,277.7953386,16.67963265,,https://ztf.fink-portal.org/ZTF24aardkhs,yes
ZTF24aaqwmpl,,,2024kzq,324.7675053,27.23033554,,https://ztf.fink-portal.org/ZTF24aaqwmpl,yes
ZTF24abspaxa,,,2024abfs,16.7922818,83.40523163,,https://ztf.fink-portal.org/ZTF24abspaxa,yes
ZTF24aauuamm,,,2017esv,252.5415554,-18.46276144,,https://ztf.fink-portal.org/ZTF24aauuamm,yes
ZTF24aakrrjs,,,2024hje,226.8553915,-22.07217264,,https://ztf.fink-portal.org/ZTF24aakrrjs,yes
ZTF24abxhdum,,,2017edo,347.3748006,43.92261134,,https://ztf.fink-portal.org/ZTF24abxhdum,yes
ZTF24abnxgxw,,,2024yho,139.5039064,-16.12410388,,https://ztf.fink-portal.org/ZTF24abnxgxw,yes
ZTF24abqxbwy,,,2024aapf,279.0907812,40.32476258,,https://ztf.fink-portal.org/ZTF24abqxbwy,yes
ZTF24aayhjxz,,,2024rbf,274.7961245,11.89468685,,https://ztf.fink-portal.org/ZTF24aayhjxz,yes
ZTF24abbwlpx,,,2024skf,323.6440652,30.5021165,,https://ztf.fink-portal.org/ZTF24abbwlpx,yes
ZTF24abrzdky,,,2024aaxq,308.0536642,3.698051829,,https://ztf.fink-portal.org/ZTF24abrzdky,yes
ZTF24aauponi,,,2024rkb,45.3103772,47.57051838,,https://ztf.fink-portal.org/ZTF24aauponi,yes
ZTF25acfqnpb,,,2025afut,126.6688734,-12.90930357,,https://ztf.fink-portal.org/ZTF25acfqnpb,yes
ZTF25abxfxna,,,2025acqu,291.2713224,38.25623081,,https://ztf.fink-portal.org/ZTF25abxfxna,yes
ZTF25abzcwci,,,2025abfn,79.76751686,0.7694975857,,https://ztf.fink-portal.org/ZTF25abzcwci,yes
ZTF25acavnbx,,,2025abxe,12.42411913,45.35187495,,https://ztf.fink-portal.org/ZTF25acavnbx,yes
ZTF24aaospih,,,2024jkf,234.6850838,-20.35955369,,https://ztf.fink-portal.org/ZTF24aaospih,yes
ZTF24aazqqsw,,,2024rrc,284.4315665,61.03680347,,https://ztf.fink-portal.org/ZTF24aazqqsw,yes
ZTF24aaodomb,,,2017fad,257.7722561,-8.177251936,,https://ztf.fink-portal.org/ZTF24aaodomb,yes
ZTF24aaifufq,,,2024fmb,307.2142396,23.5814473,,https://ztf.fink-portal.org/ZTF24aaifufq,yes
ZTF24aawsbpd,,,2024rww,251.9121936,-21.03730584,,https://ztf.fink-portal.org/ZTF24aawsbpd,yes
ZTF24abwlpbj,,,2024advw,312.386748,6.01792285,,https://ztf.fink-portal.org/ZTF24abwlpbj,yes
ZTF24abqndsu,,,2024aaqk,285.1798373,22.71749607,,https://ztf.fink-portal.org/ZTF24abqndsu,yes
ZTF25abztjzq,,,2025abne,73.21969233,-1.439093447,,https://ztf.fink-portal.org/ZTF25abztjzq,yes
ZTF24abbjmyk,,,2024sfh,276.6400475,19.16481715,,https://ztf.fink-portal.org/ZTF24abbjmyk,yes
ZTF24abzoslp,,,2024aexn,316.8451078,22.44873894,,https://ztf.fink-portal.org/ZTF24abzoslp,yes
ZTF24aahrdmd,,,2024exf,98.87398725,20.57923413,,https://ztf.fink-portal.org/ZTF24aahrdmd,yes
ZTF24aayuqab,,,2024rky,305.861554,83.97631219,,https://ztf.fink-portal.org/ZTF24aayuqab,yes
ZTF25aavaxru,,,2025ocv,275.2350319,7.540290771,,https://ztf.fink-portal.org/ZTF25aavaxru,yes
ZTF25aappflz,,,2025kfl,278.5905324,7.0993105,,https://ztf.fink-portal.org/ZTF25aappflz,yes
ZTF25aaheozr,,,2025ctk,255.2478372,0.35867228,,https://ztf.fink-portal.org/ZTF25aaheozr,yes
ZTF25aaggvwy,,,2025ckh,254.3537334,1.833780125,,https://ztf.fink-portal.org/ZTF25aaggvwy,yes
ZTF25aappljn,,,2025kej,273.7838512,41.3649197,,https://ztf.fink-portal.org/ZTF25aappljn,yes
ZTF25abcleic,,,2025rut,284.2174301,14.2864417,,https://ztf.fink-portal.org/ZTF25abcleic,yes
ZTF25aaizwoi,,,2025fma,310.3623925,63.14009341,,https://ztf.fink-portal.org/ZTF25aaizwoi,yes
ZTF25aayfazs,,,2025pgi,299.6955675,-19.63638743,,https://ztf.fink-portal.org/ZTF25aayfazs,yes
ZTF23aazvjqv,,,2023qxb,308.4427991,11.91870636,,https://ztf.fink-portal.org/ZTF23aazvjqv,yes
ZTF23abamchj,,,2023rjq,336.2037252,48.17938685,,https://ztf.fink-portal.org/ZTF23abamchj,yes
ZTF23abnkxgm,,,2023wcj,20.03115471,56.56169674,,https://ztf.fink-portal.org/ZTF23abnkxgm,yes
ZTF25abccjhw,,,2025rwu,272.256367,-3.55261542,,https://ztf.fink-portal.org/ZTF25abccjhw,yes
ZTF24acahbyn,,,2016hmw,120.4583196,-11.5594583,,https://ztf.fink-portal.org/ZTF24acahbyn,yes
ZTF25aazizhm,,,2025rey,274.9910688,25.33778723,,https://ztf.fink-portal.org/ZTF25aazizhm,yes
ZTF25aaloljw,,,2025gyl,301.8547668,-1.820080729,,https://ztf.fink-portal.org/ZTF25aaloljw,yes
ZTF25aajjioo,,,2025fem,107.1215357,14.20626999,,https://ztf.fink-portal.org/ZTF25aajjioo,yes
ZTF25aanktst,,,2025hop,226.0082335,-27.8298653,,https://ztf.fink-portal.org/ZTF25aanktst,yes
ZTF25aahweqd,,,2025cvt,91.88615474,44.10335124,,https://ztf.fink-portal.org/ZTF25aahweqd,yes
ZTF25aaxvfnf,,,2025psv,229.5781432,-26.26487197,,https://ztf.fink-portal.org/ZTF25aaxvfnf,yes
ZTF25aalphoj,,,2025gtd,126.218424,2.894366338,,https://ztf.fink-portal.org/ZTF25aalphoj,yes
ZTF25aaqybbx,,,2025kyz,257.6383032,7.688834289,,https://ztf.fink-portal.org/ZTF25aaqybbx,yes
ZTF25aawurjs,,,2025oss,268.8260137,12.16709784,,https://ztf.fink-portal.org/ZTF25aawurjs,yes
ZTF23aboelln,,,2023xvv,329.1096162,37.90929551,,https://ztf.fink-portal.org/ZTF23aboelln,yes
ZTF23abatvfd,,,2023rmn,304.0705073,-17.39782044,,https://ztf.fink-portal.org/ZTF23abatvfd,yes
ZTF23aawzkue,,,2023pfd,358.4350357,51.75887871,,https://ztf.fink-portal.org/ZTF23aawzkue,yes
ZTF23abrajyk,,,2023xum,59.26249408,35.99394392,,https://ztf.fink-portal.org/ZTF23abrajyk,yes
ZTF24aadkgen,,,2024biw,111.0946517,-2.032754325,,https://ztf.fink-portal.org/ZTF24aadkgen,yes
ZTF23abvverq,,,2023acfn,163.3235626,-14.70745303,,https://ztf.fink-portal.org/ZTF23abvverq,yes
ZTF23abnoapt,,,2023wue,102.9191996,48.0780165,,https://ztf.fink-portal.org/ZTF23abnoapt,yes
ZTF24abccvkc,,,2024slw,309.2382579,83.38991447,,https://ztf.fink-portal.org/ZTF24abccvkc,yes
ZTF24aaqzmba,,,2024kxu,271.592699,18.09267011,,https://ztf.fink-portal.org/ZTF24aaqzmba,yes
ZTF24abuprea,,,2024acye,96.4561348,73.76675197,,https://ztf.fink-portal.org/ZTF24abuprea,yes
ZTF24aawruhq,,,2024pxy,227.8647102,13.89324082,,https://ztf.fink-portal.org/ZTF24aawruhq,yes
ZTF24aasjsjs,,,2024lxc,300.6712233,-13.03687159,,https://ztf.fink-portal.org/ZTF24aasjsjs,yes
ZTF23abiuvhk,,,2023ujq,296.2944376,-6.546194263,,https://ztf.fink-portal.org/ZTF23abiuvhk,yes
ZTF24abhfjtn,,,2024vhz,321.8741763,60.61788389,,https://ztf.fink-portal.org/ZTF24abhfjtn,yes
ZTF24aawdrkg,,,2024pns,11.14788055,41.16080225,,https://ztf.fink-portal.org/ZTF24aawdrkg,yes
ZTF23abqeyxk,,,2023xpq,125.3873207,-15.41382073,,https://ztf.fink-portal.org/ZTF23abqeyxk,yes
ZTF23abhipsi,,,2023tvm,338.60868,48.97161533,,https://ztf.fink-portal.org/ZTF23abhipsi,yes
ZTF23abncubg,,,2023xby,300.1106439,-15.26742441,,https://ztf.fink-portal.org/ZTF23abncubg,yes
ZTF23abgcnmt,,,2023tir,2.089760643,72.98120753,,https://ztf.fink-portal.org/ZTF23abgcnmt,yes
ZTF23abljvny,,,2023vsz,95.97908663,-19.64706826,,https://ztf.fink-portal.org/ZTF23abljvny,yes
ZTF23abscrol,,,2023aaiu,19.09496011,81.60823466,,https://ztf.fink-portal.org/ZTF23abscrol,yes
ZTF23abaqakp,,,2023rdh,281.8621847,65.55623365,,https://ztf.fink-portal.org/ZTF23abaqakp,yes
ZTF23abmstux,,,2023vpy,266.3409568,17.60139664,,https://ztf.fink-portal.org/ZTF23abmstux,yes
ZTF24aadvfvd,,,2024bgm,86.01111685,61.96982683,,https://ztf.fink-portal.org/ZTF24aadvfvd,yes
ZTF25abkxmfm,,,,275.5805705,23.41212324,,https://ztf.fink-portal.org/ZTF25abkxmfm,yes
ZTF25abmrckr,,,,292.0958972,-4.912127711,,https://ztf.fink-portal.org/ZTF25abmrckr,yes
ZTF23abaunhu,,,,287.2688869,-3.273334775,,https://ztf.fink-portal.org/ZTF23abaunhu,yes
ZTF25abanoqz,,,,251.5352186,-18.57849323,,https://ztf.fink-portal.org/ZTF25abanoqz,yes
ZTF25accuxle,,,,288.2757973,25.65736327,,https://ztf.fink-portal.org/ZTF25accuxle,yes
ZTF25acgqqnr,,,,111.2481905,5.004877189,,https://ztf.fink-portal.org/ZTF25acgqqnr,yes
ZTF25abxebsb,,,,123.0411676,-19.09952003,,https://ztf.fink-portal.org/ZTF25abxebsb,yes
ZTF24aaunwuk,,,,289.2635053,-16.51606406,,https://ztf.fink-portal.org/ZTF24aaunwuk,yes
ZTF25acegdna,,,,96.62799155,-0.206655325,,https://ztf.fink-portal.org/ZTF25acegdna,yes
ZTF24abvnhrd,,,,134.9482914,-15.6330768,,https://ztf.fink-portal.org/ZTF24abvnhrd,yes
ZTF25aceilsd,,,,340.2643568,38.96720302,,https://ztf.fink-portal.org/ZTF25aceilsd,yes
ZTF25abbxvbc,,,,304.3035114,11.9496952,,https://ztf.fink-portal.org/ZTF25abbxvbc,yes
ZTF25abmniua,,,,34.87196232,78.78075545,,https://ztf.fink-portal.org/ZTF25abmniua,yes
ZTF25accxmzd,,,,95.04280657,-2.262726971,,https://ztf.fink-portal.org/ZTF25accxmzd,yes
ZTF25abylsxg,,,,254.3255612,71.83313753,,https://ztf.fink-portal.org/ZTF25abylsxg,yes
ZTF25abebgqw,,,,299.1299239,11.62608656,,https://ztf.fink-portal.org/ZTF25abebgqw,yes
ZTF25aavvzbx,,,,320.3561989,23.64552028,,https://ztf.fink-portal.org/ZTF25aavvzbx,yes
ZTF25abawvzf,,,,314.5535354,29.91940786,,https://ztf.fink-portal.org/ZTF25abawvzf,yes
ZTF25abxjjiu,,,,85.71102045,41.80576979,,https://ztf.fink-portal.org/ZTF25abxjjiu,yes
ZTF25abxrwld,,,,290.7368118,39.59674051,,https://ztf.fink-portal.org/ZTF25abxrwld,yes
ZTF24abbjtrd,,,,337.7241295,48.71688358,,https://ztf.fink-portal.org/ZTF24abbjtrd,yes
ZTF23aboqpgn,,,2023xet,32.99998019,49.42916083,,https://ztf.fink-portal.org/ZTF23aboqpgn,yes
