objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags
PSO J226.0071-27.8274,-999,-999,-999,74602260070277462,3480686000048968,505655089741642,0,12082377326588,7460,1,765,0,0.761405853332398,3480686,117732,3,444915712,7,53,226.00710496,-27.82738113,0.0010000000474974,0.0010000000474974,226.00710535722655,-27.82739145840133,0.0138823761162647,0.0138823761162647,-10.91280809088036,15.325841958874918,16.913154355775003,16.913154355775003,56196.08217653913,8.930655326371237,-0.614247728019124,-0.6362300199802815,-0.4668094796587094,231.39857834240613,-10.09097512659409,335.6369617748986,26.495435816368197,-999,5,26,0,9,8,8,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.999119997024536,21.211700439453125,0.0791219994425773,0.2021500021219253,9,20.97360038757324,21.597999572753903,20.667400360107425,0.1101780012249946,0.3452169895172119,7,20.759700775146484,0.1366350054740905,0.3749000132083893,8,115000,0.9995629787445068,20.779800415039062,0.0609970018267631,0.1862280070781707,8,20.505699157714844,21.03039932250977,20.311399459838867,0.0817319974303245,0.1920319944620132,8,20.2450008392334,0.059503000229597,0.1686159968376159,8,16892216,0.999517023563385,20.486400604248047,0.0999040007591247,0.1849420070648193,6,20.18980026245117,20.69050025939941,20.002199172973636,0.0817480012774467,0.3082860112190246,7,19.97830009460449,0.1082589998841285,0.2533200085163116,7,115000,0.9974690079689026,20.197599411010746,0.1460379958152771,-999.0,1,20.197599411010746,20.197599411010746,19.613100051879883,0.1989540010690689,-999.0,1,19.63629913330078,0.1460379958152771,-999.0,1,16892216
PSO J327.9078-27.2483,-999,-999,-999,75303279078402437,3609155000000159,519119812165790,0,13163162640940,7530,1,789,18,0.944337691128568,3609155,120867,3,444915712,7,53,327.90777737,-27.24827662,0.0010000000474974,0.0010000000474974,327.9078319341803,-27.248267057123893,0.0243948159943626,0.0243948159943626,-32.06071741524536,-31.05900915358257,14.81875793643654,14.81875793643654,56078.544058747,21.959830582282773,0.7531822110189023,-0.4723268547391744,-0.4578470260871818,320.745588629194,-13.425773575311371,22.064281573616206,-50.239508722617074,-999,8,14,5,4,5,0,0,0.999671995639801,21.60070037841797,0.0638710036873817,0.1517239958047866,5,21.36540031433105,21.731300354003903,21.13500022888184,0.1421329975128173,0.3047730028629303,5,21.07509994506836,0.0777259990572929,0.2103819996118545,5,16892216,0.998346984386444,21.735200881958008,0.0282499995082616,0.0399600006639957,2,21.707500457763672,21.763999938964844,21.07250022888184,0.131305992603302,0.1869660019874572,2,21.086299896240234,0.0078490003943443,0.0111020002514123,2,16892216,0.9986969828605652,21.406700134277344,0.0874859988689422,0.2209929972887039,5,21.09320068359375,21.61090087890625,20.74180030822754,0.0659520030021667,0.1129940003156662,5,20.81940078735352,0.0520390011370182,0.1240170001983642,5,16892216,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416
PSO J262.9069-27.0406,-999,-999,-999,75552629068881599,3517635000081716,510632956870948,0,11705315486498,7555,1,774,26,0.191908699639057,3517635,118891,3,436527104,7,52,262.90690034,-27.04058293,0.0010000000474974,0.0010000000474974,262.90687969400017,-27.04058002568568,0.0016973212859267,0.0016973212859267,-8.313888780868009,1.6478125154168568,1.6186488556740768,1.6186488556740768,55858.13287759777,11.388485419008616,-0.1099838234232306,-0.8838681461034286,-0.4546214456983918,263.6719635035143,-3.75697246466628,359.9559335324135,3.6236556905045294,-999,4,50,7,6,10,11,16,0.9992989897727966,21.28400039672852,0.1925210058689117,0.2914699912071228,6,21.042800903320312,21.78809928894043,21.465200424194336,0.1908919960260391,0.3790949881076813,6,21.0575008392334,0.1937949955463409,0.2529099881649017,6,115000,0.9997950196266174,19.5447998046875,0.0479290001094341,0.1160079985857009,4,19.544099807739254,19.71109962463379,19.765100479125977,0.0371310003101825,0.0740730017423629,3,19.707799911499023,0.1016110032796859,0.2376269996166229,4,115000,0.9996179938316344,18.277700424194336,0.0124530000612139,0.0492280013859272,6,18.211599349975582,18.3612003326416,18.3843994140625,0.0248600002378225,0.0652030035853385,7,18.32859992980957,0.0121630001813173,0.1048500016331672,7,115000,0.9984400272369384,17.46269989013672,0.0127180004492402,0.0385840013623237,7,17.45319938659668,17.534400939941406,17.53660011291504,0.0294150002300739,0.0683479979634285,8,17.42020034790039,0.0509329997003078,0.1078789979219436,8,280,0.9994519948959352,16.97319984436035,0.006089000031352,0.0332820005714893,11,16.901899337768555,17.001300811767578,17.103700637817383,0.0424120016396045,0.1445119976997375,12,17.003299713134766,0.0427710004150867,0.181548997759819,12,115000
PSO J318.6349-26.7794,-999,-999,-999,75863186349015036,3606139000062032,518046070403666,0,13164761366236,7586,1,787,39,0.68035754438523,3606139,120617,3,512024576,7,61,318.63492562,-26.77940326,0.0010000000474974,0.0010000000474974,318.6348928441639,-26.77940550446057,0.0006743723899441,0.0006743723899441,1.8102441861039709,-0.3461793754483286,0.414345595403798,0.414345595403798,56221.66005032067,22.769258600464926,0.6700194430786108,-0.589976800343774,-0.4505566789569885,312.9203155984003,-10.293956876276972,20.248467259507542,-42.06237807337706,-999,10,70,13,13,23,9,12,0.9998549818992616,18.76919937133789,0.0232549998909235,0.0707760006189346,9,18.673999786376957,18.90719985961914,17.659000396728516,0.0099309999495744,0.0319200009107589,13,18.001699447631836,0.0130080003291368,0.0333550013601779,13,16892216,0.9996600151062012,17.604400634765625,0.0294499993324279,0.1408070027828216,9,17.49370002746582,17.928800582885742,16.784099578857422,0.0122140003368258,0.041882999241352,13,16.89900016784668,0.013574999757111,0.0602530017495155,13,16892216,0.9998329877853394,17.304399490356445,0.0254810005426406,0.1440750062465667,16,17.072500228881836,17.5177001953125,16.3174991607666,0.0095600001513957,0.0373249985277652,23,16.61750030517578,0.0246360003948211,0.1335069984197616,23,16892216,0.9993240237236024,17.258399963378906,0.0435740016400814,0.1082070022821426,6,17.150400161743164,17.392799377441406,16.08300018310547,0.0120740002021193,0.0384560003876686,8,16.630599975585938,0.0259939990937709,0.0573330000042915,8,16892216,0.9994459748268129,17.221799850463867,0.0333289988338947,0.0968170017004013,8,17.12929916381836,17.382600784301758,15.975799560546877,0.0165860000997781,0.0462660007178783,12,16.51449966430664,0.0271889995783567,0.062608003616333,12,16892216
PSO J174.2082-26.2330,-999,-999,-999,76521742082690734,3621127000046615,499113854547481,0,10616587685907,7652,1,754,48,0.544007056899375,3621127,116209,3,512024576,7,61,174.20828438,-26.2329881,0.0010000000474974,0.0010000000474974,174.2082404895759,-26.23298207483351,0.0008739916343109,0.0008739916343109,1.0659953689089945,3.4390491519245803,0.4734866003390246,0.4734866003390246,56004.22319539493,32.61325023107694,-0.8924250731064723,0.0905195589588947,-0.4420222826247503,185.9351318401103,-26.20308111083405,282.7616155949837,33.69985054507934,-999,5,55,5,12,16,13,9,0.9990209937095642,18.400400161743164,0.0060220002196729,0.0486369989812374,5,18.33530044555664,18.444599151611328,17.428300857543945,0.024134000763297,0.1600210070610046,5,17.574899673461914,0.0055030002258718,0.0213339999318122,5,16892216,0.9993529915809632,17.75510025024414,0.033280998468399,0.1080579981207847,8,17.6205997467041,17.960100173950195,16.635000228881836,0.0125139998272061,0.0441009998321533,9,16.945899963378906,0.0201559998095035,0.0663660019636154,9,16892216,0.9993150234222412,17.287799835205078,0.0182760003954172,0.0628660023212432,8,17.170499801635742,17.3523006439209,16.241300582885742,0.0145920002833008,0.0408330000936985,13,16.50670051574707,0.0138149997219443,0.0424549989402294,13,16892216,0.9994680285453796,17.108999252319336,0.0853229984641075,0.3020339906215668,10,16.69809913635254,17.498699188232422,16.03849983215332,0.0119789997115731,0.03558000177145,10,16.394800186157227,0.0476029999554157,0.1614039987325668,10,16892216,0.9990509748458862,17.4197998046875,0.016652999445796,0.0315539985895156,4,17.375099182128906,17.449399948120117,15.966699600219728,0.0623769983649253,0.0939560011029243,8,16.51420021057129,0.0055200001224875,0.012156999669969,8,16892216
PSO J151.9271-25.9457,-999,-999,-999,76861519271425430,3618712000020999,496098787480070,0,10961685819715,7686,1,749,58,0.818397590721396,3618712,115507,3,436527104,7,52,151.92708737,-25.94572628,0.0010000000474974,0.0010000000474974,151.92707379592565,-25.94571829426684,0.0046432357098894,0.0046863947849968,-1.1351115514967418,14.870721470910471,3.383521645052458,3.4433992811081766,56023.56368442642,2.64841385028422,-0.7934164204320123,0.4231632373673784,-0.4375194376591878,164.8912963707137,-34.73216113212362,262.81317380285367,23.89740118099497,-999,5,61,9,12,14,12,14,0.9997010231018066,21.70210075378418,0.0648780018091201,0.1803320050239563,7,21.500600814819336,22.000999450683597,21.835899353027344,0.0888290032744407,0.2383770048618316,6,21.892099380493164,0.0710119977593422,0.2517090141773224,6,115000,0.999882996082306,20.540700912475582,0.0181690007448196,0.1128289997577667,12,20.339399337768555,20.75629997253418,20.61000061035156,0.0462739989161491,0.2423180043697357,10,20.52829933166504,0.0452460013329982,0.1530849933624267,12,115000,0.9997169971466064,19.592199325561523,0.0075949998572468,0.0415310002863407,11,19.50749969482422,19.652099609375,19.71940040588379,0.0330520011484622,0.0912379994988441,11,19.579700469970703,0.0420299991965293,0.0789090022444725,11,115000,0.9996439814567566,19.10260009765625,0.0174209997057914,0.055392000824213,10,18.98940086364746,19.16360092163086,19.206499099731445,0.0389119982719421,0.118768997490406,10,19.1072998046875,0.0232500005513429,0.0811309963464737,10,115000,0.99932599067688,18.920299530029297,0.0297149997204542,0.1750340014696121,13,18.600000381469727,18.997800827026367,18.960100173950195,0.0694039985537529,0.233242005109787,13,18.863800048828125,0.060878001153469,0.2635560035705566,13,115000
PSO J133.7764-25.8398,-999,-999,-999,76991337763282595,3616096000045166,493629181309038,0,10935254631465,7699,1,744,50,0.293196647701037,3616096,114932,3,436285440,7,52,133.77636497,-25.83979296,0.0010000000474974,0.0010000000474974,133.77636241515953,-25.83976489357497,0.0554465001343202,0.0554465001343202,39.84104993982386,30.129608055903617,29.81735228256727,29.81735228256727,56263.30107796387,4.187535172184471,-0.6226722249589646,0.6498530494917326,-0.4358558412261425,145.81968929520335,-41.1769448612097,250.7242153794707,12.286952273623884,-999,3,3,0,0,1,2,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.9976249933242798,21.99399948120117,0.1856890022754669,-999.0,1,21.99399948120117,21.99399948120117,22.11409950256348,0.3173500001430511,-999.0,1,22.44659996032715,0.1856890022754669,-999.0,1,115000,0.9979529976844788,20.928800582885746,0.1628330051898956,0.2309180051088333,2,20.778099060058597,21.10379981994629,21.036399841308597,0.0045980000868439,0.0065500000491738,2,20.77869987487793,0.1988819986581802,0.2821379899978637,2,115000,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720
PSO J211.6845-25.6047,-999,-999,-999,77272116845334775,3481629000030753,504078836725794,0,12028425571525,7727,1,762,52,0.864828378767547,3481629,117365,3,436527104,7,52,211.68450022,-25.60463511,0.0010000000474974,0.0010000000474974,211.68447579694947,-25.60465241342925,0.0043506688168591,0.0042864038395203,-10.022266374795326,-6.604492962876831,3.838147661932132,3.8177050641411054,55819.71030038144,5.619082709529579,-0.7673876446905998,-0.4736610836210886,-0.4321589761177127,218.3198600883069,-12.010247176140243,323.54026694077174,34.23579068750047,-999,10,65,11,11,13,17,13,0.999746024608612,20.777000427246094,0.0355320014059543,0.1318909972906112,9,20.643299102783203,21.09670066833496,20.76420021057129,0.0825899988412857,0.355441004037857,8,20.666400909423828,0.0586359985172748,0.2302729934453964,9,115000,0.9998310208320618,19.84749984741211,0.0240030009299516,0.0530960001051425,7,19.77949905395508,19.91550064086914,19.934200286865234,0.0627359971404075,0.1206739991903305,7,19.856199264526367,0.0519349984824657,0.1214630007743835,7,115000,0.9994270205497742,19.426000595092773,0.0195799991488456,0.0596400015056133,8,19.39800071716309,19.528499603271484,19.55579948425293,0.0344640016555786,0.1309690028429031,9,19.4778995513916,0.0468310005962848,0.1550540030002594,9,115000,0.9987199902534484,19.312700271606445,0.0193509999662637,0.0658140033483505,13,19.194900512695312,19.416000366210938,19.35140037536621,0.0381209999322891,0.1504720002412796,13,19.27059936523437,0.0338289998471736,0.1331489980220794,13,115000,0.999638020992279,18.98550033569336,0.0284770000725984,0.1499029994010925,13,18.636499404907227,19.191699981689453,18.71809959411621,0.0790650025010109,0.3359299898147583,13,18.72640037536621,0.0628539994359016,0.24651800096035,13,115000
PSO J225.8978-25.4527,-999,-999,-999,77452258978777118,3487602000011614,505740989050207,0,12064610888244,7745,1,765,60,0.0415294617801248,3487602,117752,3,436285440,5,52,225.89783871,-25.45262003,0.0010000000474974,0.0010000000474974,225.89779916302783,-25.4526784864129,0.0449623199691094,0.0449623199691094,134.60650600461975,61.87151706575274,74.81084978687436,74.81084978687436,56427.50570383155,2.7744773460777785,-0.6283927848863096,-0.6484012116791928,-0.4297654902336656,230.6304479972862,-7.83859923759204,337.0121743630663,28.53542369246728,-999,3,4,0,0,1,3,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.9974560141563416,21.66110038757324,0.1915940046310424,-999.0,1,21.66110038757324,21.66110038757324,-999.0,-999.0,-999.0,1,21.69729995727539,0.1915940046310424,-999.0,1,115000,0.9987189769744872,21.27569961547852,0.0729340016841888,0.1046419963240623,2,21.215200424194336,21.361099243164062,19.77239990234375,0.1678850054740905,-999.0,1,22.500099182128903,0.6331740021705627,1.1165200471878052,3,115000,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720
PSO J091.3396-25.0349,-999,-999,-999,77950913396058458,3528484000027698,488230407400500,0,10002655463530,7795,1,735,76,0.205181567189453,3528484,113675,3,436527104,5,52,91.33960037,-25.03491917,0.0010000000474974,0.0010000000474974,91.3395843271764,-25.03491309864529,0.0143336478806366,0.0143336478806366,15.532480253238518,0.5001319438712097,9.13539864739518,9.13539864739518,56631.43515359285,1.56543395472137,-0.0211816637388631,0.9058024703869751,-0.4231704405580648,91.83061829360724,-48.46570568863805,231.2608514927496,-20.732073214562725,-999,3,22,0,0,12,7,3,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.9993969798088074,20.96190071105957,0.0284030009061098,0.1229389980435371,11,20.822099685668945,21.215499877929688,21.102399826049805,0.0480719991028308,0.2948929965496063,10,21.10790061950684,0.0700210034847259,0.3189460039138794,11,115000,0.9993150234222412,20.396299362182617,0.0710960030555725,0.1433880031108856,3,20.215999603271484,20.47100067138672,20.775299072265625,0.1002369970083236,0.1600410044193267,2,20.98660087585449,0.1725060045719146,0.3875289857387543,3,115000,0.9981300234794616,19.61870002746582,0.1199949979782104,0.2670350074768066,3,19.4650993347168,19.960599899291992,19.080400466918945,0.3029679954051971,0.4390200078487396,2,19.179399490356445,0.1915609985589981,0.286217987537384,3,115000
PSO J044.2027-24.6339,-999,-999,-999,78430442026009639,3504257000037748,483733576651636,0,9711169715665,7843,1,724,84,0.724331936542254,3504257,112628,3,1352138752,0,161,44.20269514,-24.6338955,0.0010000000474974,0.0010000000474974,44.20269514,-24.6338955,0.0010000000474974,0.0010000000474974,,,,,56119.04421296,-999.0,0.6516345360079527,0.6337465389652752,-0.4168186126257261,32.53208393914788,-39.38391071338656,214.9869560476852,-61.762499701763495,-999,1,3,0,1,2,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.716966986656189,21.28199958801269,0.2589850127696991,-999.0,1,21.28199958801269,21.28199958801269,-999.0,-999.0,-999.0,0,21.85610008239746,0.2589850127696991,-999.0,1,20536,0.6957650184631348,20.0004997253418,0.0315379984676837,0.0446319989860057,2,19.97010040283203,20.03319931030273,19.78610038757324,0.0023529999889433,0.0033370000310242,2,19.536399841308597,0.0279840007424354,0.0396020002663135,2,16896056,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416
PSO J163.9759-24.6180,-999,-999,-999,78451639759728719,3563631000013287,497795299554278,0,10629555982452,7845,1,751,81,0.934909461936829,3563631,115902,3,444915712,7,53,163.97588826,-24.61797654,0.0010000000474974,0.0010000000474974,163.9758663224396,-24.617987107366147,0.0234767002473801,0.0234767002473801,94.7668598108396,-16.22212408200377,15.902224718535768,15.902224718535768,55886.50235714127,22.475419469639505,-0.8737825525452196,0.2509514730145826,-0.416566212095234,175.77543790476275,-28.81705038913628,272.03125399928103,31.23147801257521,-999,4,15,2,9,4,0,0,0.981544017791748,21.822999954223636,0.1853950023651123,-999.0,1,21.822999954223636,21.822999954223636,21.76189994812012,0.2631439864635467,-999.0,1,21.53899955749512,0.1853950023651123,-999.0,1,115000,0.9993240237236024,21.393999099731445,0.0713109970092773,0.2277670055627823,8,21.141700744628903,21.743600845336918,20.72279930114746,0.0907379984855651,0.4174349904060364,9,20.772600173950195,0.1142980009317398,0.3406180143356323,9,16892216,0.999642014503479,21.429399490356445,0.1563670039176941,0.3342939913272857,4,21.04400062561035,21.713499069213867,20.80220031738281,0.0471859984099864,0.1519040018320083,4,20.826000213623047,0.0853239968419075,0.171095997095108,4,16892216,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416
