objectId,ra,dec,redshift,name,idx,best_cat,best_cat_release,query_time,smallcone_posterior,missedcat_posterior,extra_cat_cols,host_objID,host_name,host_total_posterior,host_ra,host_dec,host_redshift_mean,host_redshift_std,host_redshift_info,host_redshift_posterior,host_absmag_mean,host_absmag_std,host_absmag_info,host_absmag_posterior,host_offset_mean,host_offset_std,host_offset_info,host_offset_posterior,host_frac_offset_mean,host_frac_offset_std,any_posterior,none_posterior,host_2_objID,host_2_name,host_2_total_posterior,host_2_ra,host_2_dec,host_2_redshift_mean,host_2_redshift_std,host_2_redshift_info,host_2_redshift_posterior,host_2_absmag_mean,host_2_absmag_std,host_2_absmag_info,host_2_absmag_posterior,host_2_offset_mean,host_2_offset_std,host_2_offset_info,host_2_offset_posterior,host_2_frac_offset_mean,host_2_frac_offset_std
ZTF24abyjjjt,61.1055513,-10.125432788888892,nan,Transient_0,0,panstarrs,dr2,2.651445150375366,6.293729097447094e-14,6.293729097447094e-14,{},95850610891639717,nan,0.9999999999998084,61.08913777,-10.11716448,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,65.33931616286392,0.10043988428425822,nan,0.9999999999998084,3.539673884874344,0.23921352417180408,0.9999999999998113,1.8881187292341285e-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25aawnezc,331.8509866,-2.7585248,nan,Transient_0,0,nan,nan,nan,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24abcpmkk,29.58029334615384,81.0703503923077,nan,Transient_0,0,panstarrs,dr2,2.5576131343841553,1.3628962450798e-13,1.3628962450798e-13,{},205280295932422635,nan,0.9999999999995912,29.593612561385537,81.06820179304438,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,10.734667983927586,0.07356701117343913,nan,0.9999999999995912,4.256425967532216,0.21289812427314425,0.9999999999995912,4.088688735239401e-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aatyjkk,351.24081330000007,-5.913350933333333,nan,Transient_0,0,nan,nan,nan,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24ablkziv,88.74496483157895,51.89599406315789,0.058,Transient_0,0,panstarrs,dr2,6.524842023849487,8.0531734446897e-15,8.0531734446897e-15,{},170280887381641287,nan,0.5675698506732851,88.7381954967953,51.90050306147857,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,22.126932377255237,0.08625542028783495,nan,0.5675698506732851,2.157985271786212,0.10882078742968306,0.9999999999999758,2.41595203340691e-14,170270887471906930,nan,0.41934011470335114,88.74712780706358,51.896837417136865,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,5.685445011687149,0.076220847964168,nan,0.41934011470335114,2.436494404019374,0.13018323004506527
ZTF25abigtwo,245.61354595454543,13.47157740909091,nan,Transient_0,0,panstarrs,dr2,2.6651089191436768,1.0168506895446209e-13,1.0168506895446209e-13,{},124162456132232624,nan,0.9999999999996934,245.61322765643368,13.468425817924674,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,11.406912747872523,0.10020577407577654,nan,0.9999999999996934,3.9822973532836063,0.2046066902930163,0.9999999999996949,3.050552068633863e-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25aanikpq,145.40098889090913,-11.457941663636364,0.145,Transient_0,0,panstarrs,dr2,2.563086748123169,2.1768085084726718e-14,2.1768085084726718e-14,{},94251454022372215,nan,0.9999999999999287,145.40233281,-11.45677686,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,6.3312069144854695,0.09610252875657001,nan,0.9999999999999287,2.5644694905286243,0.16874792740284184,0.9999999999999347,6.530425525418015e-14,94261453593530821,nan,0.0,145.35933481005242,-11.44963227212968,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,149.98116884136306,0.09250888339067609,nan,0.0,30.774568317575497,1.8114967874229086
ZTF23absbptl,44.20466598,-24.63507842,nan,Transient_0,0,panstarrs,dr2,2.3790388107299805,2.5818787555584464e-13,2.5818787555584464e-13,{},78430442026009639,nan,0.9999999999992255,44.20269514,-24.6338955,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,7.728887270541758,0.09464849712765698,nan,0.9999999999992255,4.874012083492884,0.31626483482476525,0.9999999999992255,7.74563626667534e-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aaxkdul,262.32166599722217,51.301759116666666,nan,Transient_0,0,decals,dr9,1.705221176147461,0.0,3.1143698291454157e-05,{},9907737888033799,nan,0.9999675296533355,262.32171293120876,51.30191291442542,0.553542,0.267341,PHOT,26118.92362771414,-20.501691061513135,1.10127105,r,20.8892682967324,0.5667379616940578,0.09823360979077282,nan,2223.2196595912405,1.0135756827094484,0.18489539812410852,0.9999675296533355,3.247034666449987e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aaxseec,257.627022632,55.373888392,nan,Transient_0,0,nan,nan,nan,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
