objectId,tns_classification,tns_redshift,tns_name,ra,dec,tns_classification_mapped
ZTF23abbbomo,SN Ia,0.065,2023rmk,345.63452269999993,-19.724735222727272,SN Ia
ZTF23aaxyawz,SN Ia,0.07,2023pjx,22.856634826315787,12.408701394736845,SN Ia
ZTF23absbyol,SN Ia,0.08,2023zjv,108.54359970666668,36.16466752666666,SN Ia
ZTF24aadxyvz,SN Ia-91bg-like,0.0298,2024bjb,167.98245072,3.1336873600000006,SN Ia*
ZTF24aaerzgz,SN IIn,0.1,2024crf,296.44821554727275,48.37532484,SN IIn
ZTF23abqygjv,SLSN-II,0.194,2023zeq,17.22581552857143,-20.64004747142857,SLSN-II
ZTF23abgnfdv,SN Ia,0.05,2023udv,58.67239495238094,7.331273052380954,SN Ia
ZTF24aaaldzu,SLSN-I,0.24,2024ut,183.54640736666667,-25.1319132,SLSN-I
ZTF23abdynfn,SN Ia,0.07797,2023syg,312.4208058692307,-14.724038746153846,SN Ia
ZTF24aagcvjg,SN Ia,0.025,2024ddb,47.77763455,10.84383595,SN Ia
ZTF24aaekbjg,SN Ia,0.079,2024brz,216.43653594000003,20.0949505,SN Ia
ZTF23abaderr,SN Ia,0.072854,2023qzo,23.7716709,-22.6771762375,SN Ia
ZTF24aauuiva,SN Ia,0.0785,2024pcq,279.1231751411765,60.48401778235294,SN Ia
ZTF23absbmfw,SN Ia,0.028,2023ypp,52.95503590625,-4.712318075000001,SN Ia
ZTF23aaznifc,SN Ia,0.09,2023qrz,328.81131653333335,-17.592095399999994,SN Ia
ZTF23abcqzvm,SN Ia,0.102,2023svf,251.02191633846152,30.302776469230768,SN Ia
ZTF24aaofopg,SN Ia,0.068,2024jdf,255.343329925,78.8526419,SN Ia
ZTF23abcufxh,SN Ia,0.075,2023spg,2.9845851636363636,-7.772093718181818,SN Ia
ZTF23absdqly,SN Ia,0.051,2023zax,146.39552210666668,7.1723099,SN Ia
ZTF23abjfikg,SN Ia,0.095,2023umd,338.0658318583333,0.4467306416666666,SN Ia
ZTF23abochfb,SN Ic-BL,0.15,2023wtq,20.481996163636364,-3.772209727272727,SN Ic-BL
ZTF23aboemfi,SN Ia,0.1,2023wrn,352.9730108043478,22.658537782608697,SN Ia
ZTF24aakfchb,SN II,0.018,2024gyt,139.9870720157895,0.9376311157894738,SN II
ZTF25aasfmrt,SN Ia,0.09,2025lwt,327.62321080000004,-13.65563256,SN Ia
ZTF24aahahuu,SN Ia,0.06,2024egg,194.579024475,27.595353025,SN Ia
ZTF23ablfxvj,Nova,-0.001,2023veq,10.884808463636364,41.63906901818182,CV
ZTF24abhupjy,SN II,0.0245,2024vls,101.658921375,22.509353495238095,SN II
ZTF24aahhcuo,SN Ia,0.1,2024ewl,143.48320545,29.97593545,SN Ia
ZTF24aatbavv,SN Ia,0.09,2024npr,1.6248566333333334,-4.005371233333334,SN Ia
ZTF24abgvkxx,SN Ia,0.066,2024vgq,91.38048330476192,53.921406661904754,SN Ia
ZTF24abmhrjk,SN Ia,0.09,2024yfk,42.98114154444445,-4.959299255555556,SN Ia
ZTF25aauhsoe,SN II,0.0165,2025nbh,21.326254920833335,7.357501839583333,SN II
ZTF25abhtpmw,SN Ia,0.048,2025udj,10.79228009090909,-9.639862636363636,SN Ia
ZTF24aagnlaw,SN Ia-SC,0.13,2024dvi,160.00979308888884,61.84385537222223,SN Ia*
ZTF24abllcax,SN Ia,0.04,2024xoy,76.44483443684211,10.882055331578949,SN Ia
ZTF24aavybxc,CV,0.0,2024pnt,255.92062768974355,-6.512930400000001,CV
ZTF25aaptkov,TDE-featureless,0.292,2025kkj,222.96911543124995,8.905023875,TDE
ZTF24aatccmo,SN Ia,0.059,2024mxr,240.0040310888889,-19.54966101111111,SN Ia
ZTF23aazodoj,SLSN-I,0.161,2023ous,66.45874198717947,-9.157791751282051,SLSN-I
ZTF24aaejnbx,SLSN-I,0.33,2024byt,167.14276570769232,-0.5066077384615385,SLSN-I
ZTF24aaruheu,SN,0.48,2024lnq,222.6822875529412,69.55455469117648,Ambiguous SN class
ZTF24aadecbb,SN II,0.03,2024amc,186.1998077882353,-0.9898440235294116,SN II
ZTF24aabqfbn,SN II,0.06,2024xh,205.3888571066667,15.71305347333333,SN II
ZTF23abvbwys,SN Ia-91T-like,0.049,2023aajn,55.39106185499999,-2.7805711900000007,SN Ia*
ZTF24aaiehiv,SN Ia,0.044,2024flu,240.76194806842105,79.81679819473685,SN Ia
ZTF24aaervkt,SN Ia,0.019807,2024bks,196.84011451860465,-27.37534020465116,SN Ia
ZTF24abrophb,SN Ia,0.0479050018,2024aatb,165.2642339666667,57.786578133333336,SN Ia
ZTF23abshmtt,SN Ia-pec,0.109,2023zdy,125.71105233333331,21.172609122222223,SN Ia*
ZTF23abgvtxr,SN Ia,0.055,2023tqm,119.36921582173912,51.123306121739134,SN Ia
ZTF24abifmph,SN Ia,0.11,2024vwh,105.040797575,33.166354,SN Ia
ZTF23abryfga,SN Ia,0.06,2023yqq,344.0206282,19.5824202,SN Ia
ZTF24aahhwwq,SN Ia,0.069788,2024eqd,190.21111380769233,-3.460642692307692,SN Ia
ZTF24aaaidva,SN Ia,0.058,2023acfg,164.1567591,9.690579325,SN Ia
ZTF23abjqxbe,SN Ia,0.06,2023upt,67.1141131590909,-17.89090223636364,SN Ia
ZTF23abavpyk,SN Ia,0.1,2023rfg,352.77571451428577,-27.015675757142855,SN Ia
ZTF25aakaxwv,SLSN-I,0.265,2025fpp,119.33202095,6.61912337,SLSN-I
ZTF24abqlxaf,SN IIP,0.04,2024zxb,76.94117523214285,16.100432942857143,SN II
ZTF25aaetvgk,SN II,0.04,2025alg,197.94324391818185,-14.17818033181818,SN II
ZTF25abjnifk,Nova,0.0,2025usz,333.4737534850746,30.26167783731343,CV
ZTF24aatwwpj,SN Ia,0.106,2024ngr,275.75463379999997,43.2706808076923,SN Ia
ZTF25abikugi,SN Ia,0.023906,2025ttr,91.27123202222224,34.43687429166667,SN Ia
ZTF25aafejht,CV,0.0,2025aiv,272.5319221000001,47.89423145263157,CV
ZTF25abijzcu,SN Ia,0.1,2025txy,22.11873773125,-13.567714875,SN Ia
ZTF25aancloh,SN Ia,0.08,2025hte,234.3130845125,1.328528375,SN Ia
ZTF25aakhihh,SN Ia,0.071,2025fov,234.4651398000001,8.557238083333333,SN Ia
ZTF24aapikyr,SN Ia,0.03,2024jor,202.3744727,-23.6597782125,SN Ia
ZTF25aajlyns,SN II,0.0605,2025fen,176.51562687500004,70.41081117916667,SN II
ZTF24abepnpq,SN Ia,0.045,2024unx,36.9794449225,37.4477328275,SN Ia
ZTF25aausnjn,SN Ic-BL,0.09,2025mkc,288.9317482833333,64.58780485555558,SN Ic-BL
ZTF24abszjmr,SN Ia,0.1,2024abmn,145.43348799999998,44.24272605333333,SN Ia
ZTF25acfwpoa,SN Ia,0.06,2025afxi,341.93496092857146,39.3163768047619,SN Ia
ZTF25aafwxov,SN Ia,0.023,2025byq,108.112925540625,50.2932582375,SN Ia
ZTF25aanxtou,SLSN-I,0.1734,2025izy,297.278834846875,78.85559225937502,SLSN-I
ZTF25acavlfh,SN Ia,0.1,2025acao,2.957844711111111,-2.2237808222222224,SN Ia
ZTF25aapqzzl,SN Ia,0.033575,2025jus,218.587122171875,3.6734579,SN Ia
ZTF25aamxnbm,SN Ia,0.071,2025fov,234.46511529,8.557230319999999,SN Ia
ZTF25abwobxz,SN Ia,0.12,2025aapx,314.1997559666666,-3.051661408333333,SN Ia
ZTF25abilyro,SN Ia,0.07,2025tye,268.46839688333336,68.01190945,SN Ia
ZTF25aanbchm,SN Ia,0.0835,2025hma,161.48370125,-0.2764008999999999,SN Ia
ZTF25aanmgrm,SN Ia,0.05,2025ian,314.54793766428566,14.924888785714282,SN Ia
ZTF24abeegoz,CV,0.0,2024uah,300.1181431857143,-3.009536871428572,CV
ZTF25aaompnz,SN Ibn,0.06,2025imp,225.6426296,34.88395778888888,SN Ibn
ZTF25aajgcvv,SN Ia,0.09,2025ezz,171.52250862666662,65.84535731333334,SN Ia
ZTF24aaoovbv,CV,0.0,2024jqp,313.71616064166665,29.705956091666664,CV
ZTF24ablkziv,SN Ia,0.058,2024xex,88.74496483157895,51.89599406315789,SN Ia
ZTF24absyxrj,SN Ia-pec,0.02108,2024abli,172.79518077142856,34.21380814285714,SN Ia*
ZTF25aaldcfz,SN Ia,0.073,2025fxb,147.23795345000002,79.9039631,SN Ia
ZTF25aaadqsi,SN II,0.0085,2025bl,117.2287687818182,85.76259578311688,SN II
ZTF24abtlppf,SLSN-I,0.2285,2024adfq,13.309918785714286,53.994260528571424,SLSN-I
ZTF25abwpmrd,SN Ia,0.07,2025aadr,34.471963118518524,-16.01649955925926,SN Ia
ZTF25abdzkae,SN Ia,0.121,2025smd,266.82558940961536,29.26905002692308,SN Ia
ZTF25aaazugo,SN Ia,0.045038,2025dw,241.16441270714287,16.648988057142855,SN Ia
ZTF25abigwgh,SN Ia,0.02927,2025trj,247.59922181666667,40.66011528333334,SN Ia
ZTF25aanepai,SN Ia,0.08,2025hsr,149.16980087692306,-4.176257415384615,SN Ia
ZTF24aayyqub,SN Ia,0.06,2024rki,51.08849556363637,14.135613127272729,SN Ia
ZTF24aatqfom,CV,0.0,2024nat,245.7268769625,-16.183585825,CV
ZTF24abvftmi,SLSN-II,0.32,2024adtg,133.36848835151517,-11.140727187878788,SLSN-II
ZTF24aahxyrp,SN Ia,0.054,2024fcj,165.73443953125,55.688657074999995,SN Ia
ZTF25aahcavm,CV,0.0,2021agrd,133.77579276666668,-25.840640383333326,CV
ZTF25abzmbay,SN Ia,0.06,2025acfx,155.95739693684212,-9.168778321052631,SN Ia
ZTF25aadvjal,SN Ia,0.065,2025arz,151.70235609999995,39.53043906111111,SN Ia
ZTF24abtsprb,SN Ia,0.099,2024abwf,135.58334380909093,26.91613723636364,SN Ia
ZTF24ablthst,SN Ia,0.08,2024xol,51.01460123076924,-15.717319346153849,SN Ia
ZTF24abkegqp,SN Ia,0.06,2024xhi,253.53197198947376,61.80775262631579,SN Ia
ZTF25aaqiwar,SN Ia,0.071713,2025krj,224.31121460476191,12.811801404761908,SN Ia
ZTF25aaktqzg,SN Ia,0.0061,2025fvw,233.8574448614035,12.057730733333331,SN Ia
ZTF24aapeorz,SN Ia,0.066,2024kcf,236.14820912941175,52.68011896470588,SN Ia
ZTF25abmjfcf,SLSN-I,0.11,2025whv,350.12722767,12.241730503333333,SLSN-I
ZTF25aanfhdv,SN Ia,0.079,2025hlb,161.46071867142857,18.045595071428572,SN Ia
ZTF25aborgma,Nova,0.0,2025wwe,10.795483327777776,41.770198099999995,CV
ZTF24abwsvtj,SLSN-I,0.4227,2024aezo,201.071146025,27.716996891666664,SLSN-I
ZTF25absjpon,SN II,0.01,2025xdn,91.25440312916668,-14.10412619375,SN II
ZTF24abygyka,SN Ic-BL,0.2,2024aeiw,114.87811148,-1.47839332,SN Ic-BL
ZTF24abhtybk,SN Ia,0.0335,2024vpc,86.4775498104651,51.34906638023256,SN Ia
ZTF25aaixrfr,SLSN-II,0.127,2025eqe,240.2758758136364,-0.0438894454545454,SLSN-II
ZTF24aaxdojc,SN Ia,0.02,2024ptp,40.90015655333334,-11.02262838,SN Ia
ZTF24absvdpn,SN Ia,0.04,2024abkj,138.58309823333337,14.878722514285714,SN Ia
ZTF25aakatwx,SN Ia,0.086,2025ftb,101.0652426,45.56403955,SN Ia
ZTF25acegczg,SN II,0.012,2025aedz,87.69428508260869,58.914781834782595,SN II
ZTF25aatnwge,CV,0.0,2025mxo,295.1700680652173,55.7368944173913,CV
ZTF24aawruen,SN Ia,0.085,2024pwe,248.832250393617,19.241216795744684,SN Ia
ZTF25aafdxjr,SN IIb,0.02,2025azl,195.98287755882353,-20.942304202941177,SN IIb
ZTF25aaiokdh,SN Ia,0.076102,2025dio,142.84293429,5.28377763,SN Ia
ZTF25acgqfpt,SN II,0.017,2025agqe,119.21573633636363,53.32416031818182,SN II
ZTF25abevfgb,SN Ia,0.08,2025sag,347.63692781818185,-18.76693753636363,SN Ia
ZTF24aaijpcp,SN Ia,0.054,2024fuo,252.180273025,-4.81918094375,SN Ia
ZTF24abcuvds,Nova,0.0,2024ssv,11.746344930434782,40.56179194782608,CV
ZTF25aapgumb,SN Ia,0.076,2025kil,163.880094075,11.0762362875,SN Ia
ZTF25aazhyde,SLSN-I,0.2,2025qdz,355.87619079999996,36.37433118888889,SLSN-I
ZTF24aawxpeu,SN Ia,0.11,2024qaq,256.4344108208333,38.37738304166667,SN Ia
ZTF25aadfajb,SN Ia,0.04,2025apl,144.1390915846154,-5.110320334615385,SN Ia
ZTF25aapplfd,SN IIn,0.085,2025kjd,270.4864675795918,66.08674267959184,SN IIn
ZTF25acbduge,SN Ia,0.07,2025abwi,120.0904068235294,4.668595017647058,SN Ia
ZTF25aaqxchy,SN Ia,0.056,2025lhl,169.15730785,29.3630666,SN Ia
ZTF24aahdpki,SN Ia,0.047,2024elv,244.43583963529412,13.30386702352941,SN Ia
ZTF24abrorvi,SN Ia,0.03,2024aatr,152.62170712857144,3.766725185714286,SN Ia
ZTF25aahtwad,CV,0.0,2025cwe,210.91702986666664,79.79201399047618,CV
ZTF25aaofttb,SLSN-I,0.58,2025kkb,197.90625365,10.333116775,SLSN-I
ZTF24abzwppf,SLSN-I,0.3878,2024agir,242.3062016411765,43.95097512352942,SLSN-I
ZTF25aarutoh,SN Ia-91T-like,0.034,2025lzw,201.9830490352941,34.377784582352945,SN Ia*
ZTF24aajydvw,SN Ia,0.074,2024gti,176.43758760000003,-4.2523808,SN Ia
ZTF24aalbxfh,CV,0.0,2024hif,160.79393920909092,82.68346140909091,CV
ZTF25acdhetm,Varstar,0.0,2025acvr,142.88595632142855,59.37619201428572,Varstar
ZTF25aanmrqp,SN Ia,0.078,2025hyu,151.92604783333334,-25.946845966666668,SN Ia
ZTF25aapvrng,SN Ia,0.09,2025khg,172.31255107142857,-7.183092185714285,SN Ia
ZTF25aaprtxj,SLSN-II,0.0875,2025jxk,238.87018849615384,44.40549546923077,SLSN-II
ZTF25acgqggy,SN Ia-91T-like,0.09,2025agkk,119.37742724705882,39.59059672941176,SN Ia*
ZTF25abdcdwd,SN Ia,0.066,2025sce,310.5112640814815,21.90597466296296,SN Ia
ZTF25aapdivq,SN Ia,0.0624,2025ixf,243.09921837999997,35.17372866,SN Ia
ZTF25aagrfgg,SN Ia,0.026596,2025bvf,225.89900712500005,-25.454717375,SN Ia
ZTF25aafpotv,SN Ia,0.03,2025bol,62.47651349090909,-12.41284669090909,SN Ia
ZTF25aachzhd,SN Ia,0.05,2025yd,270.96600011999993,42.94521394666666,SN Ia
ZTF25acemscy,Nova,0.0,2025aesw,10.167679,41.3788925375,CV
ZTF25abqiaaj,SLSN-I,0.2125,2025yjj,250.91262595000003,27.02397712857143,SLSN-I
ZTF25aaftdla,SN Ia,0.047,2025bvs,272.54055381923075,50.2500154576923,SN Ia
ZTF24abfawev,SN Ia,0.019,2024ulg,262.6887074058823,18.338489594117647,SN Ia
ZTF24aaybeda,SN Ia,0.097427,2024qwi,253.6686972166667,40.74364267916667,SN Ia
ZTF25acemaph,SLSN-I,0.1335,2025afcr,189.67406581111115,7.610407814814814,SLSN-I
ZTF24aalubmp,SN Ia,0.059,2024hvy,287.9030198583333,51.96803407291667,SN Ia
ZTF25aceeppc,SLSN-I,0.135,2025aeuq,121.89242653846154,47.94350598461539,SLSN-I
ZTF25aatruwp,SN Ia,0.1,2025mzr,325.3328609307692,-18.07790826153846,SN Ia
ZTF25acaypgx,SN Ia,0.07,2025abzy,348.14331241,36.41332495,SN Ia
ZTF25aatpeel,SN Ia-CSM,0.182,2025ndr,306.33060896829267,-2.499979590243903,SN Ia*
ZTF25aabylly,SN Ia,0.0453,2025ou,222.0274138,31.745597933333332,SN Ia
ZTF24aakdmwg,SN Ia,0.073,2024gtu,257.15178543571426,45.263772992857135,SN Ia
ZTF25aafpooi,SN Ia,0.1,2025bwb,83.60183194545453,-25.42546676363636,SN Ia
ZTF25aanikpq,SLSN-I,0.145,2025idz,145.40098889090913,-11.457941663636364,SLSN-I
ZTF25abmtiec,SN Ic-BL,0.3,2025wfz,350.0194742642857,16.284147792857144,SN Ic-BL
ZTF25acfzcip,SN Ic-BL,0.05,2025afto,46.0116953846154,-13.01534156153846,SN Ic-BL
ZTF25aaczsit,SN IIb,0.084,2025aca,145.54305780833334,37.09276605,SN IIb
ZTF25aadlhzw,SN II,0.04,2025alh,181.75315739777776,-15.689273386666668,SN II
ZTF25aaaecsu,SLSN-I,0.1934,2024agkj,129.0935706035714,42.02565981785715,SLSN-I
ZTF25aaoxequ,SN Ia-91bg-like,0.06,2025izg,226.69781198518515,29.346597655555556,SN Ia*
ZTF23abdmbau,CV,,2023sus,291.95398905714285,-3.754838128571429,CV
ZTF24aadeeew,CV,,2024amp,194.69859213333336,-8.818755533333333,CV
ZTF25abgkgdu,CV,,2025swd,338.58996095238103,11.978415166666666,CV
ZTF24abbvhxw,CV,,2024sio,262.99896703888885,5.667430500000001,CV
ZTF25aaiquqz,SN II,,2025dgf,195.93592197199996,-16.429641672,SN II
ZTF23abrzabc,Nova,,2023ypg,23.22482327777778,30.36060775555556,CV
ZTF25aaoxrsz,CV,,2025jpj,281.8958974344828,29.099453286206895,CV
ZTF23aazdoyl,,0.1832,2023puk,307.76071506999995,-4.7559937,
ZTF24abztsuv,,0.0,2024afzf,113.14696465,-17.304079350000002,
ZTF24aafatvf,,,2024cxy,221.0638144208333,-20.337013754166662,
ZTF24aaxseec,,,2024rkn,257.627022632,55.373888392,
ZTF24abracvj,,,2024aanz,357.74355060909096,53.298870218181825,
ZTF24aartoqh,,,2024lhp,232.01771740500004,4.9876515249999995,
ZTF24aargamg,,,2024kxo,215.4239598,15.8215710125,
ZTF24aahttlx,,,2024ffv,69.55378579999999,67.51629068,
ZTF24aawxqtz,,,2024qnx,235.90035546923076,1.3607187615384615,
ZTF24abaalzx,,,2024rue,322.6470802,19.67442452857143,
ZTF24aaruxmt,,,2024ldk,316.23480728,67.70986072000001,
ZTF24abdnunm,,,2024uhr,32.56016302105263,27.14866861052631,
ZTF24aanrbmb,,,2024jbf,250.62622545,-6.89397056,
ZTF24aajxsgx,,,2024gsi,357.1168645409091,35.60383523181818,
ZTF24abgdwyx,,,2024uzm,63.406952133333334,18.13347342666667,
ZTF24aagqkya,,,2024eez,144.18126304,8.370068120000001,
ZTF24abrywxv,,,2024aaxo,293.6857012166667,48.41381496666666,
ZTF24abcitfj,,,2024spg,237.8585181222222,19.60006587777778,
ZTF24aardkhs,,,2024kxv,277.79533858750005,16.679632650000002,
ZTF24abtaozt,,,2024abnc,0.2640181,46.88228081666667,
ZTF24aarqhdj,,,2024ljw,280.86253530000005,3.2482570571428573,
ZTF24aaejuzc,,,2024dju,185.05548561428571,14.428298914285714,
ZTF24aahrjsx,,,2024exe,74.7969002,28.59607366666667,
ZTF24abdolll,,,2024udw,60.296777473333336,20.741850453333335,
ZTF24aahatfg,,,2024efa,142.8956647666667,-12.85672126,
