,objectId,ra,dec,redshift,name,idx,best_cat,best_cat_release,query_time,smallcone_posterior,missedcat_posterior,extra_cat_cols,host_objID,host_name,host_total_posterior,host_ra,host_dec,host_redshift_mean,host_redshift_std,host_redshift_info,host_redshift_posterior,host_absmag_mean,host_absmag_std,host_absmag_info,host_absmag_posterior,host_offset_mean,host_offset_std,host_offset_info,host_offset_posterior,host_frac_offset_mean,host_frac_offset_std,any_posterior,none_posterior,host_2_objID,host_2_name,host_2_total_posterior,host_2_ra,host_2_dec,host_2_redshift_mean,host_2_redshift_std,host_2_redshift_info,host_2_redshift_posterior,host_2_absmag_mean,host_2_absmag_std,host_2_absmag_info,host_2_absmag_posterior,host_2_offset_mean,host_2_offset_std,host_2_offset_info,host_2_offset_posterior,host_2_frac_offset_mean,host_2_frac_offset_std
0,ZTF24abnvicc,57.61407072857143,18.81186825,,Transient_0,0,panstarrs,dr2,18.992166757583618,1.9896913962606636e-13,1.9896913962606636e-13,{},130590576114313178,,0.9999999999994031,57.61148450339476,18.82719536365709,0.0,0.0,,0.0,0.0,0.0,,0.0,55.87158462331979,0.10341995020425196,,0.9999999999994031,4.604675900605571,0.27140467234975457,0.9999999999994031,5.969074188781991e-13,,,,,,,,,,,,,,,,,,,
1,ZTF25aapwxhm,251.36158280487803,65.59108739999999,0.044,Transient_0,0,decals,dr9,1.959076166152954,0.0,0.017623877187378033,{},9907740709488115,,0.9823761227487563,251.36118223321589,65.59147316113987,0.125205,0.0626025,PHOT,1523156.6902433012,-17.60981145160539,1.061478,r,16.78828378806493,1.5088957530737555,0.0916611088515941,,4904.978765998163,2.2904200017163214,0.14577701869594786,0.9823761227487563,0.017623877251243696,,,,,,,,,,,,,,,,,,,
2,ZTF24abvnhrd,134.94829136363634,-15.633076799999998,,Transient_0,0,panstarrs,dr2,3.3543739318847656,1.4958880901339688e-13,1.4958880901339688e-13,{},89231349476417618,,0.9999999999994609,134.94765464929645,-15.635592738071724,0.0,0.0,,0.0,0.0,0.0,,0.0,9.326682088434252,0.09660942659650988,,0.9999999999994609,4.431382848217834,0.2927096142421026,0.9999999999995512,4.4876642704019067e-13,89241349452283543,,0.0,134.945225225116,-15.630672447896991,0.0,0.0,,0.0,0.0,0.0,,0.0,13.711703022585402,0.09837365990717394,,0.0,5.276366788069878,0.32070504286493745
3,ZTF24aahhwwq,190.21111380769236,-3.460642692307692,0.069788,Transient_0,0,glade,latest,0.0073621273040771484,0.0,0.1443376486820932,{},2385990.0,116781,0.8556623513176704,190.211411,-3.460312,0.0692033622964252,0.0207610086889275,PHOT,15369.039063114556,-20.050000285001573,0.8710000000000001,B,0.21495248718530904,1.6023538381527977,0.09816014631550007,,65.04360568660223,0.46758705218176255,0.13202198079642075,0.8556623513176704,0.14433764868232957,,,,,,,,,,,,,,,,,,,
4,ZTF23abrralq,297.07459070000004,48.55227465,,Transient_0,0,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ZTF25aatruwp,325.3328609307692,-18.07790826153846,0.1,Transient_0,0,panstarrs,dr2,20.401556253433228,1.4091266675649092e-13,1.4091266675649092e-13,{},86303253354528149,,0.9999999999995702,325.3354848290727,-18.076863630679902,0.0,0.0,,0.0,0.0,0.0,,0.0,9.7338730212735,0.09541812202854023,,0.9999999999995702,4.294332021249892,0.2360383294081637,0.9999999999995772,4.2273800026947275e-13,,,,,,,,,,,,,,,,,,,
6,ZTF25aadvjal,151.70235609999995,39.53043906111111,0.065,Transient_0,0,decals,dr9,1.7017121315002441,0.0,0.0027061975110111666,{},9907734748268031,,0.9972938024805742,151.70240105839673,39.53050630081096,0.365679,0.165866,PHOT,24360.190158637597,-19.42197709772522,1.1016679999999999,r,10.646038044954384,0.2847687775338958,0.08949354984668537,,7935.542194914552,0.28524182300471,0.09168775935543082,0.9972938024805742,0.0027061975194258205,,,,,,,,,,,,,,,,,,,
7,ZTF24aaxpgwg,248.21650444,29.50861939333333,,Transient_0,0,decals,dr9,2.111705780029297,0.0,1.4951022287478476e-05,{},9906632143608087,,0.9998323313750273,248.2165286877908,29.5086027662342,0.28021,0.140105,PHOT,43777.18657466261,-18.74780383414201,1.10185985,r,3.8975952297509546,0.14805528923251793,0.07257711048328766,,9797.233851190253,0.32583511975149804,0.1745447621397373,0.9999775729821925,2.2427017807578485e-05,9906632143667284,,0.0,248.2170455732095,29.508491581063563,0.604693,0.081639,PHOT,8984.804080330947,-20.651965878378604,1.10537815,r,55.34157307218214,1.7641363259341876,0.08651650175017171,,0.0,5.094113186159786,0.3722699511506419
8,ZTF24abluyzf,276.97734054,16.75734456,,Transient_0,0,panstarrs,dr2,68.65724015235901,1.5999907510960353e-14,1.5999907510960353e-14,{},128102769783508341,,0.8685658699638463,276.97834335506786,16.75657450272077,0.0,0.0,,0.0,0.0,0.0,,0.0,4.436499195459412,0.09682751281434153,,0.8685658699638463,2.386400224904066,0.13127826711209442,0.999999999999952,4.799972253288106e-14,128082769338541132,,0.0,276.93387756331595,16.733844740200585,0.0,0.0,,0.0,0.0,0.0,,0.0,172.06365283690783,0.09385411056309705,,0.0,85.14749280915217,4.336750882696851
9,ZTF23abjfikg,338.0658318583333,0.4467306416666666,0.095,Transient_0,0,decals,dr9,2.970564126968384,0.0,0.0039162651366490536,{},9906621694610236,,0.5556183280612447,338.0668413862262,0.4482920507892458,0.342776,0.171388,PHOT,46616.63783061029,-20.0692875376178,1.06109295,r,27.08719531530841,6.690922283468391,0.09963503806491784,,993.9009469603732,1.907777423281912,0.0903036778369781,0.9960837348545992,0.0039162651454007,9906621694610172,,0.2984450057240026,338.06550372731994,0.4469074002603603,0.187117,0.0935585,PHOT,178525.6311100894,-17.812674727242207,1.0991271,r,3.216720745733459,1.35013454168933,0.09785153975214957,,1140.9526979149055,1.7776422255649345,0.13361911738334814
