objectId,tns_classification,tns_redshift,tns_name,ra,dec,tns_classification_mapped
ZTF23abndxzj,SN Ia,0.042,2023vxt,352.97642724117645,72.84651467352941,SN Ia
ZTF24aaahwrm,SN Ia,0.05,2024mk,154.24684746666665,-9.4483493,SN Ia
ZTF25acczido,SN Ia,0.091,2025acua,9.30247097,9.50350131,SN Ia
ZTF25acgngdl,SN Ia,0.06,2025ahdt,325.36358513333334,-4.3394683,SN Ia
ZTF24abzjfdz,SN Ia,0.1095,2024afro,166.22632101818184,78.92745972727273,SN Ia
ZTF25aardghz,CV,0.0,2025ljt,253.33620732500003,-8.4256413,CV
ZTF24aaindpx,SN Ia,0.02,2024gbt,189.49828344814816,-27.434601237037036,SN Ia
ZTF25accmopr,SLSN-I,0.307,2025afad,134.29468345217393,-15.559737913043476,SLSN-I
ZTF25acdceqb,SN Ia,0.05,2025acsj,173.48318944482762,49.38396688620689,SN Ia
ZTF25abqkwce,SN Ia-SC,0.04,2025xju,358.81116190779227,39.76371591818182,SN Ia*
ZTF25abyrwhz,SLSN-I,0.124,2025abmf,139.0503893448276,49.06484862413794,SLSN-I
ZTF23aboebgh,SLSN-I,0.15,2023wml,174.78622454324326,-11.249424402702704,SLSN-I
ZTF23abaslfm,SN Ia,0.069,2023rbt,26.63096426086957,11.865366665217392,SN Ia
ZTF24aalcflg,SN Ia,0.093,2024hrq,245.82305697777775,2.508987888888889,SN Ia
ZTF23ablspnz,SN II,0.035,2023vkz,127.15074601081083,57.20884760540541,SN II
ZTF24aaimwud,SN Ia,0.115,2024lni,190.45260488333335,63.018388116666664,SN Ia
ZTF23aaxyawz,SN Ia,0.07,2023pjx,22.856634826315787,12.408701394736845,SN Ia
ZTF23abqygjv,SLSN-II,0.194,2023zeq,17.22581552857143,-20.64004747142857,SLSN-II
ZTF24aagcvjg,SN Ia,0.025,2024ddb,47.77763455,10.84383595,SN Ia
ZTF24aaofopg,SN Ia,0.068,2024jdf,255.343329925,78.8526419,SN Ia
ZTF24aagnlaw,SN Ia-SC,0.13,2024dvi,160.00979308888884,61.84385537222223,SN Ia*
ZTF24aaejnbx,SLSN-I,0.33,2024byt,167.14276570769232,-0.5066077384615385,SLSN-I
ZTF23abvbwys,SN Ia-91T-like,0.049,2023aajn,55.39106185499999,-2.7805711900000007,SN Ia*
ZTF24abifmph,SN Ia,0.11,2024vwh,105.040797575,33.166354,SN Ia
ZTF25aafwxov,SN Ia,0.023,2025byq,108.112925540625,50.2932582375,SN Ia
ZTF25aanxtou,SLSN-I,0.1734,2025izy,297.278834846875,78.85559225937502,SLSN-I
ZTF25aaofttb,SLSN-I,0.58,2025kkb,197.90625365,10.333116775,SLSN-I
ZTF25acaypgx,SN Ia,0.07,2025abzy,348.14331241,36.41332495,SN Ia
ZTF25aafpooi,SN Ia,0.1,2025bwb,83.60183194545453,-25.42546676363636,SN Ia
ZTF24aafatvf,,,2024cxy,221.0638144208333,-20.337013754166662,
ZTF24aaxseec,,,2024rkn,257.627022632,55.373888392,
ZTF24aardkhs,,,2024kxv,277.79533858750005,16.679632650000002,
ZTF24aaejuzc,,,2024dju,185.05548561428571,14.428298914285714,
ZTF24abdolll,,,2024udw,60.296777473333336,20.741850453333335,
ZTF24aahatfg,,,2024efa,142.8956647666667,-12.85672126,
ZTF24aaxjkov,,,2024qpq,91.00342388,46.76394303,
ZTF24abwmhtc,,,2024adpn,351.7398798928571,39.82656742142857,
ZTF24aahjkim,,,2024elq,160.6639880875,9.106197425,
ZTF24abprqav,,,2024aagc,7.707524240000001,38.66855184,
ZTF24aakrrjs,,,2024hje,226.855391475,-22.0721726375,
ZTF24abizbkp,,,2024wdl,65.9001301,4.3784924,
ZTF24aaiuemn,,,2024fzq,260.39799543333334,40.12213190000001,
ZTF24aahxzdl,,,2024fmi,171.54754897142857,77.35019241428573,
ZTF24abnxgxw,,,2024yho,139.5039064,-16.124103875,
ZTF24abzkrvr,,,2024aepr,165.031523625,15.749096,
ZTF24abbwlpx,,,2024skf,323.6440652333334,30.5021165,
ZTF25aceevwg,,,2025adln,168.03735987777776,30.42659735555556,
ZTF25abwoggs,,,2025aaen,332.6621976388889,16.239558199999998,
ZTF25abtjmbl,,,2025ykn,95.08365496428571,-17.584587449999997,
ZTF25abztmum,,,2025abqh,136.60237060666668,42.87853792000001,
ZTF25abxvcqw,,,2025abgg,25.74448683636364,51.23373634545454,
ZTF25abzcwci,,,2025abfn,79.76751686428572,0.7694975857142855,
ZTF25acgdfwz,,,2025agik,23.679078847826087,36.964212608695654,
ZTF25abthhzy,,,2025yqr,37.019435400000006,76.93868511999999,
ZTF24ablgtah,,,2024xox,318.9020157,22.745307083333337,
ZTF24abalacb,,,2024sba,36.428536230769225,22.173175469230767,
ZTF24aazqqsw,,,2024rrc,284.4315664833333,61.03680346666667,
ZTF24abcvapx,,,2024tdc,68.764545775,86.94030260624999,
ZTF24aaodomb,,,2017fad,257.77225605454544,-8.17725193636364,
ZTF24aaigyqo,,,2024fzb,109.065601275,16.026296499999997,
ZTF24abgsafr,,,2024vvg,1.48531965,-15.996858725,
ZTF24aahfwfd,,,2024eob,55.964784224999995,15.673492775,
ZTF24abwqeyd,,,2024adpp,91.134501625,0.624067675,
ZTF24aawjvjv,,,2024puz,262.8359789277777,53.40415264444445,
ZTF23aboryjw,,,2023xhm,16.381840166666667,29.46902898333333,
ZTF25aaheozr,,,2025ctk,255.24783718,0.35867228,
ZTF25aaiqloy,,,2025dhs,181.8747681,-21.20690005,
ZTF25abdcpcx,,,2025sah,91.12295844,43.73096959,
ZTF25aankcwt,,,2025ird,209.105084875,23.7238183,
ZTF23abdsfms,,,2023sxt,97.01130839,80.06911238,
ZTF23aazvjqv,,,2023qxb,308.4427991368421,11.918706363157897,
ZTF25abikmzx,,,2025usi,47.71566258,29.115203459999996,
ZTF25aaqzjoy,,,2025kyx,284.60666117272723,84.73357630909089,
